"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Niffler app","0","Publishing messages to Kafka","1","0","Filling userdata exclude auth","0"
"0","Niffler app","0","Authentication","2","0","Wrong Authentication","0"
"0","Niffler app","0","Publishing messages to Kafka","1","0","Message with User publishing to Kafka after successful registration","0"
"0","Niffler app","0","Spends","14","0","Spend","0"
"0","Niffler app","0","Profile","2","0","Navigation","0"
"0","Niffler app","0","Database","1","0","Spend","0"
"0","Niffler app","0","Category","5","0","Category","0"
"0","Niffler app","0","Authentication","1","0","Authentication","0"
"0","Niffler app","0","Authentication","1","0","Navigation","0"
"0","Niffler app","0","Sending messages to Soap","2","0","Getting info about existing user by username","0"
"0","Niffler app","0","Database","1","0","Category","0"
"0","Niffler app","0","Authentication","1","0","Registration","0"
"0","Niffler app","0","Spends","1","0","Authentication","0"
