"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","606","Delete All Spending[Chromium-West Melanieview-City]","tests.ui","Mon Feb 09 18:13:04 UTC 2026","passed","Mon Feb 09 18:13:04 UTC 2026","TestSpendPage","test_spending","",""
"","103","Add Spend[Chromium]","tests.api","Mon Feb 09 18:12:33 UTC 2026","passed","Mon Feb 09 18:12:34 UTC 2026","TestApiSpends","test_api_spends","",""
"","5","Check Category In Database[Chromium-Lisatown-Database]","tests.ui","Mon Feb 09 18:12:41 UTC 2026","passed","Mon Feb 09 18:12:41 UTC 2026","TestDatabase","test_category_db","",""
"","282","Login User With Invalid Login Or Password[Chromium]","tests.ui","Mon Feb 09 18:12:47 UTC 2026","passed","Mon Feb 09 18:12:48 UTC 2026","TestAuthentication","test_login_page","",""
"","412","Registration New User[Chromium]","tests.ui","Mon Feb 09 18:12:43 UTC 2026","passed","Mon Feb 09 18:12:44 UTC 2026","TestAuthentication","test_login_page","",""
"","361","Registration New User With Forbidden Name[Chromium]","tests.ui","Mon Feb 09 18:12:48 UTC 2026","passed","Mon Feb 09 18:12:49 UTC 2026","TestAuthentication","test_login_page","",""
"","56","Add Spend With Category Name[Chromium]","tests.api","Mon Feb 09 18:12:35 UTC 2026","passed","Mon Feb 09 18:12:35 UTC 2026","TestApiSpends","test_api_spends","",""
"","36","Get All Categories[Chromium-Awesome]","tests.api","Mon Feb 09 18:12:31 UTC 2026","passed","Mon Feb 09 18:12:31 UTC 2026","TestCategory","test_api_category","",""
"","1173","Edit Spending Currency Usd[Chromium-Herrerafurt-Country]","tests.ui","Mon Feb 09 18:13:05 UTC 2026","passed","Mon Feb 09 18:13:07 UTC 2026","TestSpendPage","test_spending","",""
"","156","Add New Category[Chromium]","tests.api","Mon Feb 09 18:12:31 UTC 2026","passed","Mon Feb 09 18:12:31 UTC 2026","TestCategory","test_api_category","",""
"","9","Get User Info By Not Exist Username","tests.soap","Mon Feb 09 18:13:07 UTC 2026","passed","Mon Feb 09 18:13:07 UTC 2026","TestSoapNiffler","test_soap","",""
"","528","Create New Spending[Chromium]","tests.ui","Mon Feb 09 18:12:56 UTC 2026","passed","Mon Feb 09 18:12:57 UTC 2026","TestSpendPage","test_spending","",""
"","57","Add Spend With Minimal Amount[Chromium]","tests.api","Mon Feb 09 18:12:37 UTC 2026","passed","Mon Feb 09 18:12:37 UTC 2026","TestApiSpends","test_api_spends","",""
